"Datetime","Self_Id","Source_IP","SIM_Operator","App_Version","Result_Type","Download_Target","Download_Success","Download_Mbit_sec","Download_Bytes","Download_Usec","Upload_Target","Upload_Success","Upload_Mbit_sec","Upload_Bytes","Upload_Usec","Latency_Target","Latency_Success","Latency_Avg_Msec","Latency_Min_Msec","Latency_Max_Msec","Latency_Loss_Pct","Active_Interface_Type","Network_Operator","Roaming","GSM Signal","CDMA DBM"
"Sat Jun 08 07:08:07 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","4.420272","8606912","15577141","samknows1.wdc4.level3.net","true","4.377696","8315392","15195910","samknows1.wdc4.level3.net","true","44.783","33.572","182.817","0%","WIFI","Sprint","false","","-100",
"Sat Jun 08 15:07:29 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","22.20408","18137648","6534888","samknows1.wdc4.level3.net","true","23.8216","18350592","6162673","samknows1.wdc4.level3.net","true","40.042","10.834","47.825","0%","WIFI","Sprint","false","","-100",
"Sat Jun 08 20:00:45 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","22.902584","18162264","6344178","samknows1.wdc4.level3.net","true","23.979064","18350592","6122203","samknows1.wdc4.level3.net","true","41.431","13.154","49.351","0%","WIFI","Sprint","false","","-100",
"Sun Jun 09 08:47:26 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","22.276824","17994296","6462067","samknows1.wdc4.level3.net","true","24.045496","18350592","6105289","samknows1.wdc4.level3.net","true","38.429","11.353","245.048","0%","WIFI","Sprint","false","","-100",
"Sun Jun 09 14:49:19 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","23.234208","18304168","6302488","samknows1.wdc4.level3.net","true","24.175872","18350592","6072364","samknows1.wdc4.level3.net","true","40.366","15.809","49.626","0%","WIFI","Sprint","false","","-100",
"Tue Jun 11 07:59:40 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","init_test","","","","","","","","","","","","","","","","","WIFI","Sprint","false","","-102",
"Tue Jun 11 07:59:45 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","manual_test","samknows1.wdc4.level3.net","true","17.276264","17855288","8268122","samknows1.wdc4.level3.net","true","15.867232","18350592","9252068","samknows1.wdc4.level3.net","true","34.398","11.292","181.26","1.7543859649123%","WIFI","Sprint","false","","-101",
"Wed Jun 12 07:13:13 EDT 2013","sprint - galaxy s3 - loaner","66.87.80.21","310120","1.24","init_test","","","","","","","","","","","","","","","","","mobile","Sprint","false","","-98",
"Wed Jun 12 07:13:31 EDT 2013","sprint - galaxy s3 - loaner","66.87.80.21","310120","1.24","manual_test","samknows1.wdc4.level3.net","true","0.34364","687740","16010377","samknows1.wdc4.level3.net","true","0.36344","790528","17400884","samknows1.wdc4.level3.net","true","201.545","43.888","581.87","1.7543859649123%","mobile","Sprint","false","","-99",
"Wed Jun 12 07:15:51 EDT 2013","sprint - galaxy s3 - loaner","66.87.80.21","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.907","1731680","15273859","samknows2.nyc2.level3.net","true","0.868464","1686528","15535724","samknows2.nyc2.level3.net","true","182","46.572","775.553","1.7857142857143%","mobile","Sprint","false","","-93",
"Wed Jun 12 07:18:11 EDT 2013","sprint - galaxy s3 - loaner","66.87.80.21","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","1.6662","3138670","15069831","samknows2.nyc2.level3.net","true","0.831928","1619968","15577843","samknows2.nyc2.level3.net","true","144.056","44.529","1261.162","1.8181818181818%","mobile","Sprint","false","","-83",
"Wed Jun 12 07:38:21 EDT 2013","sprint - galaxy s3 - loaner","66.87.80.21","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.323992","624720","15425241","samknows2.nyc2.level3.net","true","0.906288","1882112","16613734","samknows2.nyc2.level3.net","true","490.888","103.341","884.632","0%","mobile","Sprint","false","","-94",
"Wed Jun 12 07:39:54 EDT 2013","sprint - galaxy s3 - loaner","66.87.80.21","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.756152","1460420","15451030","samknows2.nyc2.level3.net","true","0.423944","886272","16724187","samknows2.nyc2.level3.net","true","300.794","77.338","1934.411","0%","mobile","Sprint","false","","-84",
"Wed Jun 12 19:47:52 EDT 2013","sprint - galaxy s3 - loaner","66.87.83.44","310120","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","0.85576","1626190","15202197","samknows2.nyc2.level3.net","true","0.767192","1536512","16022127","samknows2.nyc2.level3.net","true","145.285","76.178","399.725","0%","mobile","Sprint","false","","-88",
"Wed Jun 12 22:25:55 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","16.822928","17942168","8532244","samknows2.nyc2.level3.net","true","21.417344","18350592","6854478","samknows2.nyc2.level3.net","true","41.063","16.633","129.955","0%","WIFI","Sprint","true","","-97",
"Wed Jun 12 22:28:59 EDT 2013","sprint - galaxy s3 - loaner","96.241.54.39","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","5.92192","11117744","15019106","samknows2.nyc2.level3.net","true","6.977888","14146048","16218130","samknows2.nyc2.level3.net","true","60.293","16.328","222.218","0%","WIFI","Sprint","true","","-99",
"Wed Jun 12 22:31:32 EDT 2013","sprint - galaxy s3 - loaner","66.87.73.169","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0.067992","114392","13458690","samknows2.nyc2.level3.net","true","0.000328","1536","37240409","samknows2.nyc2.level3.net","true","383.228","343.415","1632.137","0%","mobile","Sprint","true","","-96",
"Wed Jun 12 22:33:57 EDT 2013","sprint - galaxy s3 - loaner","66.87.73.169","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0.037128","105704","22773020","samknows2.nyc2.level3.net","true","0.03084","73728","19123536","samknows2.nyc2.level3.net","true","378.009","313.565","789.545","1.7857142857143%","mobile","Sprint","true","","-99",
"Wed Jun 12 22:40:44 EDT 2013","sprint - galaxy s3 - loaner","66.87.82.125","310120","1.24","manual_test","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","false","0","0","0","samknows2.nyc2.level3.net","true","386.865","313.993","1171.738","0%","mobile","Sprint","true","","-96",
"Wed Jun 12 23:05:37 EDT 2013","sprint - galaxy s3 - loaner","66.87.82.125","310120","1.24","manual_test","samknows2.nyc2.level3.net","true","0.619872","1197380","15453166","samknows2.nyc2.level3.net","true","0.127544","300032","18818556","samknows2.nyc2.level3.net","true","232.879","67.297","1678.864","1.8518518518519%","mobile","Sprint","false","","-101",
