"Datetime","Self_Id","Source_IP","SIM_Operator","App_Version","Result_Type","Download_Target","Download_Success","Download_Mbit_sec","Download_Bytes","Download_Usec","Upload_Target","Upload_Success","Upload_Mbit_sec","Upload_Bytes","Upload_Usec","Latency_Target","Latency_Success","Latency_Avg_Msec","Latency_Min_Msec","Latency_Max_Msec","Latency_Loss_Pct","Active_Interface_Type","Network_Operator","Roaming","GSM Signal","CDMA DBM"
"Sat Jun 08 08:14:14 EDT 2013","Verizon - galaxy s4","70.208.146.91","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","5.998536","12800928","17072052","samknows1.wdc4.level3.net","true","0.467664","1366528","23376007","samknows1.wdc4.level3.net","true","107.652","35.4","1301.177","11.363636363636%","mobile","Verizon Wireless","false","","",
"Sat Jun 08 18:56:47 EDT 2013","Verizon - galaxy s4","70.208.146.91","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","1.297896","2447904","15088409","samknows1.wdc4.level3.net","true","0.43264","865280","15999969","samknows1.wdc4.level3.net","true","83.469","38.513","522.033","0%","mobile","Verizon Wireless","false","","",
"Sun Jun 09 08:27:17 EDT 2013","Verizon - galaxy s4","70.208.144.19","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","29.897664","18296672","4895813","samknows1.wdc4.level3.net","true","9.729616","18350592","15088440","samknows1.wdc4.level3.net","true","57.537","30.639","881.561","0%","mobile","Verizon Wireless","false","","",
"Sun Jun 09 10:35:05 EDT 2013","Verizon - galaxy s4","70.208.144.19","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.201688","18354464","9062988","samknows1.wdc4.level3.net","true","3.735536","8507392","18219360","samknows1.wdc4.level3.net","true","100.626","44.158","1935.455","3.921568627451%","mobile","Verizon Wireless","false","","-77",
"Mon Jun 10 07:23:02 EDT 2013","Verizon - galaxy s4","70.208.148.200","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","7.751552","15221312","15709168","samknows1.wdc4.level3.net","true","0.20896","1079808","41338775","samknows1.wdc4.level3.net","true","54.068","33.843","240.814","14.285714285714%","mobile","Verizon Wireless","false","","",
"Mon Jun 10 14:42:46 EDT 2013","Verizon - galaxy s4","70.208.148.200","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","false","1.639144","3349184","16345978","samknows1.wdc4.level3.net","false","0","0","0","samknows1.wdc4.level3.net","false","0","0","0","100%","mobile","Verizon Wireless","false","","-91",
"Mon Jun 10 15:59:59 EDT 2013","Verizon - galaxy s4","71.178.26.141","311480","1.24","manual_test","samknows1.wdc4.level3.net","true","4.973304","9579968","15410217","samknows1.wdc4.level3.net","true","4.647992","8899584","15317719","samknows1.wdc4.level3.net","true","60.141","15.533","394.317","0%","WIFI","Verizon Wireless","false","","",
"Mon Jun 10 16:01:55 EDT 2013","Verizon - galaxy s4","71.178.26.141","311480","1.24","manual_test","samknows1.wdc4.level3.net","true","5.308384","10101248","15223084","","","","","","","","","","","","WIFI","Verizon Wireless","false","","",
"Mon Jun 10 19:31:17 EDT 2013","Verizon - galaxy s4","70.208.148.86","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","1.086592","2081888","15327790","samknows1.wdc4.level3.net","true","0.564112","1122304","15916016","samknows1.wdc4.level3.net","true","82.332","40.679","558.502","0%","mobile","Verizon Wireless","false","","",
"Tue Jun 11 08:17:26 EDT 2013","Verizon - galaxy s4","71.178.26.141","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","5.363576","10211296","15230560","samknows1.wdc4.level3.net","true","5.188584","10295808","15874542","samknows1.wdc4.level3.net","true","65.022","39.367","460.876","0%","WIFI","Verizon Wireless","false","","",
"Tue Jun 11 19:27:07 EDT 2013","Verizon - galaxy s4","70.192.196.155","311480","1.24","init_test","","","","","","","","","","","","","","","","","mobile","Verizon Wireless","false","","-83",
"Wed Jun 12 17:02:25 EDT 2013","Verizon - galaxy s4","70.208.144.236","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","20.983416","18342080","6992981","samknows1.wdc4.level3.net","true","4.96492","10061312","16211823","samknows1.wdc4.level3.net","true","70.69","34.332","1380.279","1.7857142857143%","mobile","Verizon Wireless","false","","",
"Thu Jun 13 00:57:39 EDT 2013","Verizon - galaxy s4","70.208.146.225","311480","1.24","init_test","","","","","","","","","","","","","","","","","mobile","Verizon Wireless","false","","-95",
"Thu Jun 13 08:29:56 EDT 2013","Verizon - galaxy s4","70.208.146.225","311480","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","3.057464","6055776","15845215","samknows1.wdc4.level3.net","true","0.00016","1536","73998474","samknows1.wdc4.level3.net","false","0","0","0","100%","mobile","Verizon Wireless","false","","-94",
"Thu Jun 13 12:32:24 EDT 2013","Verizon - galaxy s4","70.208.146.225","311480","1.24","manual_test","samknows1.wdc4.level3.net","true","1.151928","2846944","19771637","samknows1.wdc4.level3.net","true","0.884736","2419712","21879487","samknows1.wdc4.level3.net","true","79.729","38.269","862.06","8.3333333333333%","mobile","Verizon Wireless","false","","",
"Thu Jun 13 16:01:07 EDT 2013","Verizon - galaxy s4","70.192.194.25","311480","1.24","init_test","","","","","","","","","","","","","","","","","mobile","Verizon Wireless","false","","",
"Thu Jun 13 17:29:14 EDT 2013","Verizon - galaxy s4","70.192.194.25","311480","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","5.812208","11577664","15935638","samknows2.nyc2.level3.net","true","2.303648","4835328","16791870","samknows2.nyc2.level3.net","true","79.482","37.658","1275.268","3.7735849056604%","mobile","Verizon Wireless","false","","",
"Fri Jun 14 10:03:23 EDT 2013","Verizon - galaxy s4","70.192.192.198","311480","1.24","scheduled_tests","samknows2.nyc2.level3.net","false","0.9474","1561760","13187683","samknows2.nyc2.level3.net","true","0.272392","967680","28419861","samknows2.nyc2.level3.net","true","101.452","39.55","1690.734","8.695652173913%","mobile","Verizon Wireless","false","","",
